id_,image_,name_,exp_link,profession_,exp_id
nm8165602,"https://m.media-amazon.com/images/M/MV5BMWJkZWEyMWYtYWI1MS00ZTY0LTg2MTAtYjUzMWIwZDhjNmViXkEyXkFqcGdeQXVyNzI5MjUxNjE@._V1_UY209_CR13,0,140,209_AL_.jpg",Bella Ramsey,/title/tt0944947/,Actress,Game of Thrones
nm1396022,"https://m.media-amazon.com/images/M/MV5BMzQ0NDg0MjQ3NV5BMl5BanBnXkFtZTgwOTI5OTAwODE@._V1_UY209_CR8,0,140,209_AL_.jpg",Anna Torv,/title/tt1119644/,Actress,Fringe
nm0050959,"https://m.media-amazon.com/images/M/MV5BMGNlYTVlYTMtMjRhMC00YjY5LTkwMzMtZDE4MWQzMzgwYmUzXkEyXkFqcGdeQXVyMjI0OTExNzk@._V1_UY209_CR15,0,140,209_AL_.jpg",Pedro Pascal,/title/tt8111088/,Actor,The Mandalorian
nm4911194,"https://m.media-amazon.com/images/M/MV5BNmQ1MDJhYmUtNTJhYS00Njk2LTgyMmEtYmNhM2JiZGMwMTc0XkEyXkFqcGdeQXVyMzQwODQxNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Jenna Ortega,/title/tt11245972/,Actress,Scream
nm9135274,"https://m.media-amazon.com/images/M/MV5BMTgzNTM1MDAxMV5BMl5BanBnXkFtZTgwMDM4NzcxNzM@._V1_UY209_CR0,0,140,209_AL_.jpg",Nico Parker,/title/tt3861390/,Actress,Dumbo
nm0001696,"https://m.media-amazon.com/images/M/MV5BNzQ1MmJkYjEtNzZiNi00NTQ2LWJiN2EtODA0NjFlZGM0ZGZhXkEyXkFqcGdeQXVyMTIzODM0NTEx._V1_UY209_CR4,0,140,209_AL_.jpg",Julian Sands,/title/tt0091867/,Actor,A Room with a View
nm0577982,"https://m.media-amazon.com/images/M/MV5BZjQ3OGE3MGUtZmViOC00N2M2LTlmNmMtMmZiZDUwYTcyMzUxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Harry Melling,/title/tt0241527/,Actor,Harry Potter and the Sorcerer's Stone
nm1275259,"https://m.media-amazon.com/images/M/MV5BMTY3Nzg2NjA1OF5BMl5BanBnXkFtZTgwMjY5NTU1MzI@._V1_UY209_CR7,0,140,209_AL_.jpg",Alexandra Daddario,/title/tt1469304/,Actress,Baywatch
nm0518178,"https://m.media-amazon.com/images/M/MV5BMjEzODg2OTc3OV5BMl5BanBnXkFtZTcwNjU2MjgwOA@@._V1_UY209_CR14,0,140,209_AL_.jpg",Gina Lollobrigida,/title/tt0050781/,Actress,Notre-Dame de Paris
nm3526370,"https://m.media-amazon.com/images/M/MV5BNzg4NWFkMWYtNTU5NC00MWU3LWIyMzUtNTYxZGVjMDBkMTdhXkEyXkFqcGdeQXVyMjg5MTA0NDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Brianne Howey,/title/tt1074206/,Actress,The Passage
nm5896355,"https://m.media-amazon.com/images/M/MV5BMTllYmE5YTYtZGZmYy00ZTBlLWJlODEtYWQ0ZmU1YTJkMjJlXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX140_CR0,0,140,209_AL_.jpg",Anya Taylor-Joy,/title/tt10048342/,Actress,The Queen's Gambit
